section,name,venue,date_text,link,scraped_at_sgt,event_id
div[30]/div/div[2],IV OF SPADES LIVE AT THE MOA ARENA - DEC 12,SM Mall Of Asia Arena,"IV OF SPADES LIVE AT THE MOA ARENA - DEC 12
SM Mall Of Asia Arena
DEC 12, 2025
BUY TICKETS",https://smtickets.com/events/view/15827,2025-12-02T15:17:15+08:00,"div[30]/div/div[2]|iv of spades live at the moa arena - dec 12|sm mall of asia arena|iv of spades live at the moa arena - dec 12
sm mall of asia arena
dec 12, 2025
buy tickets|https://smtickets.com/events/view/15827"
div[31]/div/div[2],SPACE AND TIME CUBE MUSEUM,Ground Floor S' Maison Seaside Blvd.,"SPACE AND TIME CUBE MUSEUM
Ground Floor S' Maison Seaside Blvd.
JUN 22, 2024 - DEC 31, 2025
BUY TICKETS",https://smtickets.com/events/view/13315,2025-12-02T15:17:31+08:00,"div[31]/div/div[2]|space and time cube museum|ground floor s' maison seaside blvd.|space and time cube museum
ground floor s' maison seaside blvd.
jun 22, 2024 - dec 31, 2025
buy tickets|https://smtickets.com/events/view/13315"
div[31]/div/div[2],2026 KANGIN FANMEETING TOUR STUNNING TOGETHER IN MANILA,"SKYDOME, SM City North Edsa","2026 KANGIN FANMEETING TOUR STUNNING TOGETHER IN MANILA
SKYDOME, SM City North Edsa
JAN 11, 2026
BUY TICKETS",https://smtickets.com/events/view/16184,2025-12-02T15:17:32+08:00,"div[31]/div/div[2]|2026 kangin fanmeeting tour stunning together in manila|skydome, sm city north edsa|2026 kangin fanmeeting tour stunning together in manila
skydome, sm city north edsa
jan 11, 2026
buy tickets|https://smtickets.com/events/view/16184"
div[31]/div/div[2],THE TEMPTING VENOM GINNYJAYNA FANMEETING IN MANILA,"Samsung Hall, SM Aura Premier","THE TEMPTING VENOM GINNYJAYNA FANMEETING IN MANILA
Samsung Hall, SM Aura Premier
DEC 06, 2025
BUY TICKETS",https://smtickets.com/events/view/16156,2025-12-02T15:17:32+08:00,"div[31]/div/div[2]|the tempting venom ginnyjayna fanmeeting in manila|samsung hall, sm aura premier|the tempting venom ginnyjayna fanmeeting in manila
samsung hall, sm aura premier
dec 06, 2025
buy tickets|https://smtickets.com/events/view/16156"
THE COMEDY OF REX NAVARRETE,"₱1,500",2025-12-02T07:17:46.944042+00:00,,,,
CORAZON,₱750,2025-12-02T07:17:46.944042+00:00,,,,
REX NAVARRETE LIVE IN MANILA,"₱1,500",2025-12-02T07:17:46.944042+00:00,,,,
REX NAVARRETE LIVE AT BRICK WALL,"₱1,500",2025-12-02T07:17:46.944042+00:00,,,,
MEDYO NOCHE 2025,₱550,2025-12-02T07:17:46.944042+00:00,,,,
JINGLE HELLS,₱650,2025-12-02T07:17:46.944042+00:00,,,,
ISKOMEDY MANILA,₱750,2025-12-02T07:17:46.944042+00:00,,,,
QUEZO DE BOBO,₱550,2025-12-02T07:17:46.944042+00:00,,,,
THE KOOLPALS CHOICE AWARDS 2025,"₱1,500",2025-12-02T07:17:46.944042+00:00,,,,
THE VAULT COMEDY NIGHT,₱500,2025-12-02T07:17:46.944042+00:00,,,,
GB LABRADOR LIVE AT BRICK WALL,₱700,2025-12-02T07:17:46.944042+00:00,,,,
"SHAKE, RATTLE & LOL",₱600,2025-12-02T07:17:46.944042+00:00,,,,
TYLA WE WANNA PARTY ASIA in MANILA,"DEC 03, 2025",SM Mall Of Asia Arena,,2025-12-02T07:18:05.338704+00:00,,
DOJA CAT - MA VIE WORLD TOUR,"DEC 07, 2025",SM Mall Of Asia Arena,,2025-12-02T07:18:05.338704+00:00,,
"GET, GET AW THE SEXBOMB CONCERT RAWND 2","DEC 09, 2025",SM Mall Of Asia Arena,,2025-12-02T07:18:05.338704+00:00,,
IV OF SPADES LIVE AT THE MOA ARENA - DEC 12,"DEC 12, 2025",SM Mall Of Asia Arena,,2025-12-02T07:18:05.338704+00:00,,
IV OF SPADES LIVE AT THE MOA ARENA - DEC 13,"DEC 13, 2025",SM Mall Of Asia Arena,,2025-12-02T07:18:05.338704+00:00,,
SM SOUTHMALL MEV BASKETBALL,"DEC 31, 2025",Test Venue,,2025-12-02T07:18:05.338704+00:00,,
div[31]/div/div[2],WISP If Not Winter TOUR LIVE IN MANILA,"SKYDOME, SM City North Edsa","WISP If Not Winter TOUR LIVE IN MANILA
SKYDOME, SM City North Edsa
JAN 28, 2026
BUY TICKETS",https://smtickets.com/events/view/16284,2025-12-08T10:32:00+08:00,"div[31]/div/div[2]|wisp if not winter tour live in manila|skydome, sm city north edsa|wisp if not winter tour live in manila
skydome, sm city north edsa
jan 28, 2026
buy tickets|https://smtickets.com/events/view/16284"
PAMASKONG HAMBOG,₱550,2025-12-08T02:32:16.087114+00:00,,,,
CORAZON,₱750,2025-12-08T02:32:16.087114+00:00,,,,
REX NAVARRETE LIVE IN MANILA,"₱1,500",2025-12-08T02:32:16.087114+00:00,,,,
REX NAVARRETE LIVE AT BRICK WALL,"₱1,500",2025-12-08T02:32:16.087114+00:00,,,,
MEDYO NOCHE 2025,₱550,2025-12-08T02:32:16.087114+00:00,,,,
JINGLE HELLS,₱650,2025-12-08T02:32:16.087114+00:00,,,,
QUEZO DE BOBO,₱550,2025-12-08T02:32:16.087114+00:00,,,,
GB LABRADOR LIVE AT BRICK WALL,₱700,2025-12-08T02:32:16.087114+00:00,,,,
"GET, GET AW THE SEXBOMB CONCERT RAWND 2","DEC 09, 2025",SM Mall Of Asia Arena,,2025-12-08T02:32:37.110055+00:00,,
IV OF SPADES LIVE AT THE MOA ARENA - DEC 12,"DEC 12, 2025",SM Mall Of Asia Arena,,2025-12-08T02:32:37.110055+00:00,,
IV OF SPADES LIVE AT THE MOA ARENA - DEC 13,"DEC 13, 2025",SM Mall Of Asia Arena,,2025-12-08T02:32:37.110055+00:00,,
SM SOUTHMALL MEV BASKETBALL,"DEC 31, 2025",Test Venue,,2025-12-08T02:32:37.110055+00:00,,
