event_name,event_description,event_date,event_url,time_scraped_utc
GUF's farewell concert,"You asked and we did!
 Having ended his musical career in Russia, GUF returns to his beloved island to give a grand farewell concert for friends and fans. A fiery performance with a touch of melancholy—this show will never be repeated and is guaranteed to go down in history.

 Opening act: DJ Worm. On stage: GUF, MC MAF, and Deemars, along with a powerful vibe of legendary hits that will rock the island from Bang Tao to the shores of the Andaman Sea.

 🗓️ Date: January 10
 🕐 Time: 8:00 PM
 📍 Location: Lotus Arena, Phuket


 GUF's farewell concert is one of the island's biggest events of the new year, and you can't miss it!",10/1/2026,,2025-12-02T06:09:08.734845+00:00
Valery Meladze on the island of Phuket,"Following the resounding success and sold-out crowds that Valeriy Meladze played to during his 2025 anniversary tour, one of the most popular contemporary performers is embarking on his first tour of Asia's most prestigious concert halls!

 The 2026 tour is filled with fresh emotions, even more emotional and heartfelt lyrics, not only to beloved hits familiar to millions, but also to new songs. The premiere of new compositions, a high-tech light show, an atmosphere that has already become legendary, and, of course, the unique voice of Valery Meladze.

 Each concert by the inimitable Valery Meladze is a unique, heartfelt story, during which the artist gives 100%, charging his audience with incredibly powerful energy and immersing himself in it.

 🗓️ Date: January 11
 🕐 Time: 8:00 PM
 📍 Location: Lotus Arena, Phuket

 Valery Meladze's concert is one of the most anticipated events of 2026 in Phuket, and it will go down in history!",11/1/2026,,2025-12-02T06:09:08.734845+00:00
Rustam Asadullin in Shaman,"Popular Tatar composer and singer-songwriter Rustam Asadullin will give his only solo concert on the island🏝️

 The artist's best hits, a warm atmosphere, and an autograph session after the concert—a heartfelt evening with Rustam for all lovers of authentic Tatar music 🎤

 Before the concert, guests will be warmed up by a DJ, and immediately afterward, there will be a disco with Tatar songs📀

 🗓️ January 12
 🕐 Guests will be arriving at 7:30 PM
 📍 Place: SHAMAN PHUKET",12/1/2026,,2025-12-02T06:09:08.734845+00:00
MAXIM,"MAXIM in Phuket! 🔥

 On January 14, the legendary singer MAXIM will perform on the Lotus Arena Phuket stage.

 Her songs are the soundtrack of youth, first love and the most sincere emotions.
 “Do You Know,” “My Paradise,” “Tenderness”—we all once sang these hits from the heart.
 And now you can hear them live, under the starry sky of Phuket.

 It will be an unforgettable evening filled with light, music and memories,
 that will make your heart beat faster again ❤️

 📅 January 14, 2026
 🎫 Doors open 18:00/start show 20:00
 📍 Lotus Arena Phuket

 Don't miss your chance to sing ""Do You Know"" on a huge concert stage in unison with the charming MAKSIM and thousands of other spectators🖤",14/1/2026,,2025-12-02T06:09:08.734845+00:00
2025 JAY B CONCERT [TAPE:RE LOAD FINALE] IN BANGKOK,01-02 November 2025,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/2025-jay-b-concert-tape-re-load-finale-in-bangkok,2025-12-02T06:23:13.015151+00:00
HER & HERS LINGORM 1st FANCON,8-Nov-25,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/her-hers-lingorm-1st-fancon,2025-12-02T06:23:13.015151+00:00
2025 aespa LIVE TOUR – SYNK : aeXIS LINE – in BANGKOK,15-16 November 2025,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/2025-aespa-live-tour-%E2%80%93-synk-aexis-line-%E2%80%93-in-bangkok,2025-12-02T06:23:13.015151+00:00
BIRD FANFEST 20XX #แฟนจ๋ามาเสิร์ฟแล้วจ้ะ,21-23 November 2025,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/bird-fanfest-20xx-%E0%B9%81%E0%B8%9F%E0%B8%99%E0%B8%88%E0%B9%8B%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%AA%E0%B8%B4%E0%B8%A3%E0%B9%8C%E0%B8%9F%E0%B9%81%E0%B8%A5%E0%B9%89%E0%B8%A7%E0%B8%88%E0%B9%89%E0%B8%B0,2025-12-02T06:23:13.015151+00:00
PERSES THE FIRST CONCERT ‘INTO THE ALTERLAND’,22-Nov-25,Thunder Dome,https://www.impact.co.th/en/visitors/event-calendar/concert/perses-the-first-concert-%E2%80%98into-the-alterland%E2%80%99,2025-12-02T06:23:13.015151+00:00
SUPER JUNIOR 20th Anniversary TOUR <SUPER SHOW 10> in BANGKOK,29-30 November 2025,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/super-junior-20th-anniversary-tour-in-bangkok,2025-12-02T06:23:13.015151+00:00
B.DAY FOREVER CONCERT,05-08 December 2025,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/b-day-forever-concert,2025-12-02T06:23:25.082868+00:00
TWICE < THIS IS FOR > WORLD TOUR in BANGKOK,13-14 December 2025,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/twice-this-is-for-world-tour-in-bangkok,2025-12-02T06:23:25.082868+00:00
Doja Cat - Ma Vie World Tour,18-Dec-25,IMPACT Exhibition Center,https://www.impact.co.th/en/visitors/event-calendar/concert/doja-cat-ma-vie-world-tour,2025-12-02T06:23:25.082868+00:00
GMMTV STARLYMPICS 2025,20-Dec-25,IMPACT Arena,https://www.impact.co.th/en/visitors/event-calendar/concert/gmmtv-starlympics-2025,2025-12-02T06:23:25.082868+00:00
